price (grands),bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age,renovated_age,sqft_living15,sqft_lot15
221.9,3,1,1180,5650,1,0,0,3,7,1180,0,62,0,1340,5650
538,3,2.25,2570,7242,2,0,0,3,7,2170,400,66,40,1690,7639
180,2,1,770,10000,1,0,0,3,6,770,0,84,0,2720,8062
604,4,3,1960,5000,1,0,0,5,7,1050,910,52,0,1360,5000
510,3,2,1680,8080,1,0,0,3,8,1680,0,30,0,1800,7503
1225,4,4.5,5420,101930,1,0,0,3,11,3890,1530,16,0,4760,101930
257.5,3,2.25,1715,6819,2,0,0,3,7,1715,0,22,0,2238,6819
291.85,3,1.5,1060,9711,1,0,0,3,7,1060,0,54,0,1650,9711
229.5,3,1,1780,7470,1,0,0,3,7,1050,730,57,0,1780,8113
323,3,2.5,1890,6560,2,0,0,3,7,1890,0,14,0,2390,7570
662.5,3,2.5,3560,9796,1,0,0,3,8,1860,1700,52,0,2210,8925
468,2,1,1160,6000,1,0,0,4,7,860,300,75,0,1330,6000
310,3,1,1430,19901,1.5,0,0,4,7,1430,0,90,0,1780,12697
400,3,1.75,1370,9680,1,0,0,4,7,1370,0,40,0,1370,10208
530,5,2,1810,4850,1.5,0,0,3,7,1810,0,117,0,1360,4850
650,4,3,2950,5000,2,0,3,3,9,1980,970,38,0,2140,4000
395,3,2,1890,14040,2,0,0,3,7,1890,0,23,0,1890,14018
485,4,1,1600,4300,1.5,0,0,4,7,1600,0,101,0,1610,4300
189,2,1,1200,9850,1,0,0,4,7,1200,0,96,0,1060,5095
230,3,1,1250,9774,1,0,0,4,7,1250,0,48,0,1280,8850
385,4,1.75,1620,4980,1,0,0,4,7,860,760,70,0,1400,4980
2000,3,2.75,3050,44867,1,0,4,3,9,2330,720,49,0,4110,20336
285,5,2.5,2270,6300,2,0,0,3,8,2270,0,22,0,2240,7005
252.7,2,1.5,1070,9643,1,0,0,3,7,1070,0,32,0,1220,8386
329,3,2.25,2450,6500,2,0,0,4,8,2450,0,32,0,2200,6865
233,3,2,1710,4697,1.5,0,0,5,6,1710,0,76,0,1030,4705
937,3,1.75,2450,2691,2,0,0,3,8,1750,700,102,0,1760,3573
